"BehaviorSpace results (NetLogo 6.1.1)"
"SEIRD-awareness-unawareness-updated-i_from_0-10000_more_rho_sample.nlogo"
"fake_news-dec_a-dec_u-perc_unaw-only_last_state"
"11/08/2021 15:57:19:433 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-42","42","-42","42"
"[run number]","alpha-aw","decay-aw","%awareness-cte","alpha-unaw","decay-unaw","%unawareness-cte","[step]","count turtles with [ susceptible? ]"
"104","1","0.4","1","1","0.9","0","1000","5494"
"124","1","0.2","1","1","0","0.1","1000","2782"
"128","1","0.6","1","1","0","0.1","1000","9928"
"105","1","0.5","1","1","0.9","0","1000","8170"
"133","1","0","1","1","0.1","0.1","1000","1447"
"107","1","0.7","1","1","0.9","0","1000","9943"
"108","1","0.8","1","1","0.9","0","1000","9962"
"126","1","0.4","1","1","0","0.1","1000","5369"
"106","1","0.6","1","1","0.9","0","1000","9761"
"109","1","0.9","1","1","0.9","0","1000","9985"
"135","1","0.2","1","1","0.1","0.1","1000","2822"
"134","1","0.1","1","1","0.1","0.1","1000","2033"
"110","1","1","1","1","0.9","0","1000","9990"
"136","1","0.3","1","1","0.1","0.1","1000","3716"
"127","1","0.5","1","1","0","0.1","1000","7893"
"132","1","1","1","1","0","0.1","1000","9990"
"144","1","0","1","1","0.2","0.1","1000","1564"
"145","1","0.1","1","1","0.2","0.1","1000","2026"
"137","1","0.4","1","1","0.1","0.1","1000","4772"
"130","1","0.8","1","1","0","0.1","1000","9970"
"129","1","0.7","1","1","0","0.1","1000","9982"
"131","1","0.9","1","1","0","0.1","1000","9987"
"146","1","0.2","1","1","0.2","0.1","1000","2845"
"147","1","0.3","1","1","0.2","0.1","1000","3461"
"148","1","0.4","1","1","0.2","0.1","1000","4644"
"138","1","0.5","1","1","0.1","0.1","1000","7452"
"140","1","0.7","1","1","0.1","0.1","1000","9952"
"139","1","0.6","1","1","0.1","0.1","1000","9861"
"143","1","1","1","1","0.1","0.1","1000","9990"
"141","1","0.8","1","1","0.1","0.1","1000","9986"
"142","1","0.9","1","1","0.1","0.1","1000","9975"
"149","1","0.5","1","1","0.2","0.1","1000","7132"
"159","1","0.4","1","1","0.3","0.1","1000","4392"
"156","1","0.1","1","1","0.3","0.1","1000","1905"
"150","1","0.6","1","1","0.2","0.1","1000","8735"
"155","1","0","1","1","0.3","0.1","1000","1433"
"157","1","0.2","1","1","0.3","0.1","1000","2358"
"166","1","0","1","1","0.4","0.1","1000","1306"
"151","1","0.7","1","1","0.2","0.1","1000","9971"
"153","1","0.9","1","1","0.2","0.1","1000","9974"
"152","1","0.8","1","1","0.2","0.1","1000","9980"
"158","1","0.3","1","1","0.3","0.1","1000","3237"
"167","1","0.1","1","1","0.4","0.1","1000","1652"
"168","1","0.2","1","1","0.4","0.1","1000","2331"
"169","1","0.3","1","1","0.4","0.1","1000","3133"
"170","1","0.4","1","1","0.4","0.1","1000","4283"
"160","1","0.5","1","1","0.3","0.1","1000","7037"
"188","1","0","1","1","0.6","0.1","1000","1083"
"164","1","0.9","1","1","0.3","0.1","1000","9983"
"162","1","0.7","1","1","0.3","0.1","1000","9969"
"154","1","1","1","1","0.2","0.1","1000","9990"
"177","1","0","1","1","0.5","0.1","1000","1289"
"161","1","0.6","1","1","0.3","0.1","1000","9910"
"178","1","0.1","1","1","0.5","0.1","1000","1690"
"163","1","0.8","1","1","0.3","0.1","1000","9961"
"165","1","1","1","1","0.3","0.1","1000","9988"
"179","1","0.2","1","1","0.5","0.1","1000","2217"
"180","1","0.3","1","1","0.5","0.1","1000","2970"
"171","1","0.5","1","1","0.4","0.1","1000","6403"
"190","1","0.2","1","1","0.6","0.1","1000","1954"
"201","1","0.2","1","1","0.7","0.1","1000","1700"
"181","1","0.4","1","1","0.5","0.1","1000","4207"
"189","1","0.1","1","1","0.6","0.1","1000","1439"
"191","1","0.3","1","1","0.6","0.1","1000","2448"
"176","1","1","1","1","0.4","0.1","1000","9988"
"175","1","0.9","1","1","0.4","0.1","1000","9986"
"183","1","0.6","1","1","0.5","0.1","1000","9151"
"172","1","0.6","1","1","0.4","0.1","1000","8637"
"174","1","0.8","1","1","0.4","0.1","1000","9982"
"182","1","0.5","1","1","0.5","0.1","1000","5538"
"173","1","0.7","1","1","0.4","0.1","1000","9902"
"184","1","0.7","1","1","0.5","0.1","1000","9968"
"193","1","0.5","1","1","0.6","0.1","1000","5013"
"186","1","0.9","1","1","0.5","0.1","1000","9975"
"200","1","0.1","1","1","0.7","0.1","1000","1362"
"211","1","0.1","1","1","0.8","0.1","1000","925"
"203","1","0.4","1","1","0.7","0.1","1000","2912"
"192","1","0.4","1","1","0.6","0.1","1000","3169"
"185","1","0.8","1","1","0.5","0.1","1000","9983"
"187","1","1","1","1","0.5","0.1","1000","9989"
"199","1","0","1","1","0.7","0.1","1000","1062"
"202","1","0.3","1","1","0.7","0.1","1000","2164"
"194","1","0.6","1","1","0.6","0.1","1000","7874"
"197","1","0.9","1","1","0.6","0.1","1000","9974"
"195","1","0.7","1","1","0.6","0.1","1000","9757"
"196","1","0.8","1","1","0.6","0.1","1000","9978"
"198","1","1","1","1","0.6","0.1","1000","9987"
"210","1","0","1","1","0.8","0.1","1000","794"
"236","1","0.4","1","1","1","0.1","1000","402"
"214","1","0.4","1","1","0.8","0.1","1000","2373"
"212","1","0.2","1","1","0.8","0.1","1000","1175"
"205","1","0.6","1","1","0.7","0.1","1000","5352"
"204","1","0.5","1","1","0.7","0.1","1000","3998"
"223","1","0.2","1","1","0.9","0.1","1000","875"
"213","1","0.3","1","1","0.8","0.1","1000","1862"
"222","1","0.1","1","1","0.9","0.1","1000","632"
"215","1","0.5","1","1","0.8","0.1","1000","2835"
"221","1","0","1","1","0.9","0.1","1000","495"
"216","1","0.6","1","1","0.8","0.1","1000","3958"
"208","1","0.9","1","1","0.7","0.1","1000","9963"
"217","1","0.7","1","1","0.8","0.1","1000","5539"
"207","1","0.8","1","1","0.7","0.1","1000","9824"
"224","1","0.3","1","1","0.9","0.1","1000","933"
"225","1","0.4","1","1","0.9","0.1","1000","1300"
"232","1","0","1","1","1","0.1","1000","180"
"228","1","0.7","1","1","0.9","0.1","1000","2958"
"209","1","1","1","1","0.7","0.1","1000","9986"
"227","1","0.6","1","1","0.9","0.1","1000","2165"
"226","1","0.5","1","1","0.9","0.1","1000","1679"
"219","1","0.9","1","1","0.8","0.1","1000","9931"
"206","1","0.7","1","1","0.7","0.1","1000","9765"
"239","1","0.7","1","1","1","0.1","1000","740"
"229","1","0.8","1","1","0.9","0.1","1000","4195"
"238","1","0.6","1","1","1","0.1","1000","543"
"218","1","0.8","1","1","0.8","0.1","1000","7764"
"237","1","0.5","1","1","1","0.1","1000","448"
"233","1","0.1","1","1","1","0.1","1000","174"
"235","1","0.3","1","1","1","0.1","1000","296"
"241","1","0.9","1","1","1","0.1","1000","1313"
"234","1","0.2","1","1","1","0.1","1000","236"
"242","1","1","1","1","1","0.1","1000","1605"
"220","1","1","1","1","0.8","0.1","1000","9984"
"240","1","0.8","1","1","1","0.1","1000","867"
"247","1","0.4","1","1","0","0.2","1000","5152"
"230","1","0.9","1","1","0.9","0.1","1000","5897"
"243","1","0","1","1","0","0.2","1000","1700"
"245","1","0.2","1","1","0","0.2","1000","2709"
"244","1","0.1","1","1","0","0.2","1000","2204"
"246","1","0.3","1","1","0","0.2","1000","3827"
"231","1","1","1","1","0.9","0.1","1000","9599"
"256","1","0.2","1","1","0.1","0.2","1000","2757"
"248","1","0.5","1","1","0","0.2","1000","7406"
"249","1","0.6","1","1","0","0.2","1000","9767"
"254","1","0","1","1","0.1","0.2","1000","1381"
"255","1","0.1","1","1","0.1","0.2","1000","2062"
"265","1","0","1","1","0.2","0.2","1000","1551"
"278","1","0.2","1","1","0.3","0.2","1000","2155"
"258","1","0.4","1","1","0.1","0.2","1000","4887"
"267","1","0.2","1","1","0.2","0.2","1000","2494"
"257","1","0.3","1","1","0.1","0.2","1000","3737"
"250","1","0.7","1","1","0","0.2","1000","9953"
"276","1","0","1","1","0.3","0.2","1000","1338"
"253","1","1","1","1","0","0.2","1000","9990"
"251","1","0.8","1","1","0","0.2","1000","9980"
"273","1","0.8","1","1","0.2","0.2","1000","9986"
"252","1","0.9","1","1","0","0.2","1000","9987"
"261","1","0.7","1","1","0.1","0.2","1000","9964"
"266","1","0.1","1","1","0.2","0.2","1000","1777"
"277","1","0.1","1","1","0.3","0.2","1000","1732"
"268","1","0.3","1","1","0.2","0.2","1000","2986"
"269","1","0.4","1","1","0.2","0.2","1000","4435"
"287","1","0","1","1","0.4","0.2","1000","1267"
"259","1","0.5","1","1","0.1","0.2","1000","7196"
"289","1","0.2","1","1","0.4","0.2","1000","1899"
"260","1","0.6","1","1","0.1","0.2","1000","9947"
