"BehaviorSpace results (NetLogo 6.1.1)"
"SEIRD-awareness-unawareness-updated-i_from_0-10000_more_rho_sampleCOPY.nlogo"
"fake_news-not_fake-only_over"
"10/28/2021 22:42:23:983 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-42","42","-42","42"
"[run number]","decay-aw","alpha-aw","%awareness-cte","alpha-unaw","decay-unaw","%unawareness-cte","[step]","count turtles with [ susceptible? ]"
"127","0.5","0","0.1","0","0","0","1000","1516"
"123","0.1","0","0.1","0","0","0","1000","1571"
"126","0.4","0","0.1","0","0","0","1000","1622"
"120","0.9","1","0","0","0","0","1000","4999"
"108","0.8","0.9","0","0","0","0","1000","2783"
"110","1","0.9","0","0","0","0","1000","9988"
"98","0.9","0.8","0","0","0","0","1000","4119"
"124","0.2","0","0.1","0","0","0","1000","1580"
"99","1","0.8","0","0","0","0","1000","9989"
"121","1","1","0","0","0","0","1000","9990"
"109","0.9","0.9","0","0","0","0","1000","4362"
"129","0.7","0","0.1","0","0","0","1000","1554"
"132","1","0","0.1","0","0","0","1000","1488"
"133","0","0.1","0.1","0","0","0","1000","1589"
"131","0.9","0","0.1","0","0","0","1000","1576"
"130","0.8","0","0.1","0","0","0","1000","1529"
"135","0.2","0.1","0.1","0","0","0","1000","1502"
"138","0.5","0.1","0.1","0","0","0","1000","1587"
"134","0.1","0.1","0.1","0","0","0","1000","1584"
"140","0.7","0.1","0.1","0","0","0","1000","1765"
"136","0.3","0.1","0.1","0","0","0","1000","1576"
"141","0.8","0.1","0.1","0","0","0","1000","1750"
"144","0","0.2","0.1","0","0","0","1000","1437"
"146","0.2","0.2","0.1","0","0","0","1000","1516"
"139","0.6","0.1","0.1","0","0","0","1000","1608"
"154","1","0.2","0.1","0","0","0","1000","2744"
"137","0.4","0.1","0.1","0","0","0","1000","1520"
"157","0.2","0.3","0.1","0","0","0","1000","1541"
"147","0.3","0.2","0.1","0","0","0","1000","1720"
"145","0.1","0.2","0.1","0","0","0","1000","1464"
"161","0.6","0.3","0.1","0","0","0","1000","1893"
"156","0.1","0.3","0.1","0","0","0","1000","1457"
"150","0.6","0.2","0.1","0","0","0","1000","1626"
"143","1","0.1","0.1","0","0","0","1000","2075"
"166","0","0.4","0.1","0","0","0","1000","1688"
"165","1","0.3","0.1","0","0","0","1000","4028"
"170","0.4","0.4","0.1","0","0","0","1000","1741"
"153","0.9","0.2","0.1","0","0","0","1000","2345"
"142","0.9","0.1","0.1","0","0","0","1000","2016"
"149","0.5","0.2","0.1","0","0","0","1000","1650"
"171","0.5","0.4","0.1","0","0","0","1000","1807"
"155","0","0.3","0.1","0","0","0","1000","1512"
"152","0.8","0.2","0.1","0","0","0","1000","2043"
"163","0.8","0.3","0.1","0","0","0","1000","2484"
"148","0.4","0.2","0.1","0","0","0","1000","1730"
"151","0.7","0.2","0.1","0","0","0","1000","1852"
"172","0.6","0.4","0.1","0","0","0","1000","2164"
"160","0.5","0.3","0.1","0","0","0","1000","1743"
"159","0.4","0.3","0.1","0","0","0","1000","1606"
"168","0.2","0.4","0.1","0","0","0","1000","1660"
"158","0.3","0.3","0.1","0","0","0","1000","1631"
"178","0.1","0.5","0.1","0","0","0","1000","1590"
"180","0.3","0.5","0.1","0","0","0","1000","1661"
"162","0.7","0.3","0.1","0","0","0","1000","2000"
"167","0.1","0.4","0.1","0","0","0","1000","1560"
"181","0.4","0.5","0.1","0","0","0","1000","1804"
"174","0.8","0.4","0.1","0","0","0","1000","2731"
"176","1","0.4","0.1","0","0","0","1000","5297"
"169","0.3","0.4","0.1","0","0","0","1000","1651"
"177","0","0.5","0.1","0","0","0","1000","1653"
"182","0.5","0.5","0.1","0","0","0","1000","1877"
"188","0","0.6","0.1","0","0","0","1000","1656"
"173","0.7","0.4","0.1","0","0","0","1000","2055"
"175","0.9","0.4","0.1","0","0","0","1000","3610"
"164","0.9","0.3","0.1","0","0","0","1000","2856"
"179","0.2","0.5","0.1","0","0","0","1000","1643"
"192","0.4","0.6","0.1","0","0","0","1000","1921"
"184","0.7","0.5","0.1","0","0","0","1000","2333"
"189","0.1","0.6","0.1","0","0","0","1000","1691"
"185","0.8","0.5","0.1","0","0","0","1000","3034"
"191","0.3","0.6","0.1","0","0","0","1000","1810"
"190","0.2","0.6","0.1","0","0","0","1000","1594"
"183","0.6","0.5","0.1","0","0","0","1000","2147"
"194","0.6","0.6","0.1","0","0","0","1000","2075"
"193","0.5","0.6","0.1","0","0","0","1000","1886"
"186","0.9","0.5","0.1","0","0","0","1000","4151"
"187","1","0.5","0.1","0","0","0","1000","9975"
"210","0","0.8","0.1","0","0","0","1000","1523"
"195","0.7","0.6","0.1","0","0","0","1000","2599"
"196","0.8","0.6","0.1","0","0","0","1000","3229"
"203","0.4","0.7","0.1","0","0","0","1000","1854"
